"site","records","dataset","lat","lon","seasonality","mean_temp"
"p_977",36,"pep",52.3167,8.03333,20.3967213114754,13.3308743169399
"p_1539",31,"pep",51.8333,7.3,20.1836065573771,13.707650273224
"p_244",37,"pep",54.5167,9.56667,19.7655737704918,11.8823770491803
"p_1072",37,"pep",52.3,10.4333,22.1409836065574,13.5946721311475
"p_1758",34,"pep",51.45,8.35,20.2786885245902,11.6218579234973
"p_3482",40,"pep",47.7333,12.8833,22.6213114754098,13.5803278688525
"p_4641",32,"pep",49.4167,6.91667,21.8508196721311,13.4707650273224
"p_7015",26,"pep",48.2667,16.7,26.0426229508197,15.1013661202186
"p_766",34,"pep",53.1333,10.6,21.9786885245902,13.1707650273224
"p_1326",9,"pep",51.5833,6.25,19.4704918032787,14.0321038251366
"p_1974",36,"pep",49.7333,9,22.3295081967213,13.693306010929
"p_3023",40,"pep",49.0667,8.8,22.5655737704918,14.3627049180328
"p_3744",36,"pep",49.1333,12.7333,24.0622950819672,12.1144808743169
"p_2009",37,"pep",50.5167,8.81667,22.5704918032787,13.595218579235
"p_4340",38,"pep",49.95,10.2833,23.816393442623,13.8780054644809
"p_2615",37,"pep",50.2,6.41667,20.5934426229508,11.726912568306
"p_911",33,"pep",52.8667,7.31667,19.5065573770492,13.2629781420765
"p_3346",36,"pep",48.2833,8.85,22.8016393442623,13.0378415300546
"p_3378",38,"pep",48.2833,9.71667,23.6114754098361,12.7023224043716
"p_3558",36,"pep",47.45,11.2667,20.2901639344262,10.6285519125683
"p_3526",34,"pep",48.3833,11.4167,23.3786885245902,12.6095628415301
"p_3014",36,"pep",49.0833,9.88333,23.2590163934426,13.0836065573771
"p_810",35,"pep",53.8167,8.76667,20.0147540983607,13.0105191256831
"p_3876",38,"pep",49.8667,11.9,23.7459016393443,11.9016393442623
"p_6620",32,"pep",46.95,14.4167,23.8262295081967,12.247131147541
"p_3945",38,"pep",48.9,11.6167,23.9344262295082,12.7243169398907
"p_4054",37,"pep",49.9333,11.2833,23.4114754098361,12.422131147541
"p_6729",8,"pep",46.1833,6.01667,22.6934426229508,15.4331967213115
"p_3827",35,"pep",48.75,13.5167,24.3983606557377,13.0234972677596
"p_143",23,"pep",54.5167,11.05,19.0524590163934,11.7468579234973
"p_656",32,"pep",52.5333,10.35,22.2016393442623,13.603825136612
"p_5246",37,"pep",54.15,12.5833,20.6524590163934,11.5262295081967
"p_4741",33,"pep",52.2167,14.1167,24.0245901639344,13.2657103825137
"p_4848",38,"pep",52.9833,13.35,23.4475409836066,12.8706284153005
"p_5501",39,"pep",50.8667,12.45,23.8639344262295,13.0784153005465
"p_3484",35,"pep",48.4,11.7333,23.7786885245902,13.0172131147541
"p_5661",40,"pep",51.3667,12.6333,23.7213114754098,13.3516393442623
"p_5158",39,"pep",53.8167,12.0667,21.2409836065574,12.1016393442623
"p_6020",38,"pep",51.9167,12.7833,24.1016393442623,13.226912568306
"p_5756",39,"pep",52.5,12.0333,23.4016393442623,13.8364754098361
"p_5507",39,"pep",51.2667,15.0333,23.9540983606557,12.9228142076503
"p_5277",35,"pep",54.6833,13.4333,19.4803278688525,11.4849726775956
"p_5213",36,"pep",53.45,12.2667,22.0524590163934,12.3020491803279
"p_5236",38,"pep",53.5167,13.95,22.9,12.3393442622951
"p_6410",41,"pep",50.8667,11.2,22.7901639344262,12.4703551912568
"p_6737",9,"pep",46.9167,6.63333,20.8983606557377,11.0392076502732
"p_5449",38,"pep",50.75,13.75,22.1229508196721,8.6714480874317
"p_20451",13,"pep",42.8333,19.5167,22.9524590163934,12.7155737704918
"p_20449",8,"pep",42.7667,18.95,24.5426229508197,16.4311475409836
