"","station","year","species","first_estimate","first_lower","first_upper","last_estimate","last_lower","last_upper","count","dates"
"1909","AA",1991,"CARW",55.9270256198571,-223.403839895769,81.8365809465655,167.222280185897,193.57696636867,164.019404690339,8,6
"1910","AA",1991,"CAWA",124.711849084849,116.430483454423,127.645911875005,163.903440183505,166.998903349867,163.01881290088,32,16
"1911","AA",1991,"CEDW",NA,NA,NA,NA,NA,NA,3,3
"1912","AA",1991,"COGR",114.198840050929,112.118828590499,114.951873864409,167.074740666707,172.286659837197,164.38550956903,103,31
"1913","AA",1991,"COYE",126.0448566752,123.555621965854,126.78086213496,165.860217054581,180.024627123336,164.157452495103,119,22
"1914","AA",1991,"DOWO",NA,NA,NA,NA,NA,NA,3,2
"1915","AA",1991,"EAKI",NA,NA,NA,NA,NA,NA,3,3
"1916","AA",1991,"EAPH",99.3308789420342,58.208585409448,106.71973081717,170.831440157681,238.571836001706,157.583611709864,8,7
"1917","AA",1991,"EAWP",NA,NA,NA,NA,NA,NA,3,3
"1918","AA",1991,"ETTI",105.435662673419,101.179508019051,105.997425102335,158.339358016492,208.395355471589,149.689639087269,16,10
"1919","AA",1991,"EUST",NA,NA,NA,NA,NA,NA,1,1
"1920","AA",1991,"GCFL",NA,NA,NA,NA,NA,NA,3,2
"1921","AA",1991,"GCKI",105.778096499474,103.855203754114,105.998583205924,127.512150479913,168.017504770467,120.926125382595,11,4
"1922","AA",1991,"GRCA",102.971816066251,NA,NA,165.184355269832,165.834484972127,165.00321976039,412,37
"1923","AA",1991,"HETH",105.835835344163,104.925402191342,105.997728254673,134.944531976424,140.609574517532,130.764524319997,48,13
"1924","AA",1991,"HOFI",NA,NA,NA,NA,NA,NA,1,1
"1925","AA",1991,"HOWR",123.789657718195,88.3965552256873,125.979897287415,149.336803522777,212.585222874704,144.318978186672,5,5
"1926","AA",1991,"INBU",NA,NA,NA,NA,NA,NA,1,1
"1927","AA",1991,"LEFL",127.655330381474,78.9758512705537,133.722518390431,177.347914964018,278.532139667858,164.731114873597,6,5
"1928","AA",1991,"LISP",NA,NA,NA,NA,NA,NA,1,1
"1929","AA",1991,"MAWA",126.707022748362,124.18442369432,127.92092281409,158.101012970303,158.654239903006,158.000726288917,72,21
"1930","AA",1991,"MODO",108.57331224922,53.4104468893233,113.931842757097,200.669282199433,465.278768546589,173.386960914078,6,6
"1931","AA",1991,"MOWA",145.114980343172,122.377624440233,149.583501407761,166.237732049537,172.486952677532,165.02522717024,10,5
"1932","AA",1991,"MYWA",NA,NA,NA,NA,NA,NA,1,1
"1933","AA",1991,"NOCA",103.937932382939,95.7679897261591,105.966190572346,168.191802215492,183.314012072225,163.293116259253,20,17
"1934","AA",1991,"NOMO",80.7999072908405,-22.2174282251281,96.8318541881086,143.093644285528,194.225134483458,123.501787395593,7,3
"1935","AA",1991,"NOPA",NA,NA,NA,NA,NA,NA,1,1
"1936","AA",1991,"NOWA",109.805059071,94.0042017301691,114.54468622939,167.943502367944,177.434463473701,165.098115628824,21,13
"1937","AA",1991,"NRWS",123.385753041315,44.5244525469986,131.944402517429,161.190315381899,295.608386375833,151.427032790247,5,4
"1938","AA",1991,"OROR",132.514981229712,128.385830557031,132.998055131077,168.817380671597,183.202541732912,164.330916247803,14,8
"1939","AA",1991,"OVEN",119.027676340666,110.672785128666,120.727484442297,152.993578261581,160.723518015529,151.232818496009,28,11
"1940","AA",1991,"PIWA",NA,NA,NA,NA,NA,NA,3,2
"1941","AA",1991,"PRAW",NA,NA,NA,NA,NA,NA,4,3
"1942","AA",1991,"RCKI",90.1078861933357,47.1907374917254,102.493719990726,131.214276217784,138.479593008931,130.01566892378,11,6
"1943","AA",1991,"REVI",129.598108490723,90.9349206941686,133.899198832432,178.726522640087,287.953182442747,165.275051218266,6,6
"1944","AA",1991,"RSTO",110.209207511629,99.5276184048039,112.901576607699,146.940637291077,163.039948010239,142.401810274649,13,8
"1945","AA",1991,"RTHU",132.174723060152,129.371442632681,132.970960450483,145.882863604048,150.325301852136,144.152408563167,17,9
"1946","AA",1991,"RWBL",113.838384868436,113.08063185363,113.999227941059,166.748755274625,180.802930612488,162.438689610599,54,24
"1947","AA",1991,"SCJU",NA,NA,NA,NA,NA,NA,2,2
"1948","AA",1991,"SOSP",105.497654056135,103.261721658792,105.992445303723,159.43798524002,166.083101609357,156.248678699847,46,20
"1949","AA",1991,"SOVI",NA,NA,NA,NA,NA,NA,2,2
"1950","AA",1991,"SSHA",120.339040503339,110.411100187705,121.91933738413,133.839982407578,149.929298518483,130.436303178057,7,5
"1951","AA",1991,"SWSP",102.542485407314,93.8478456611942,106.778336990231,145.094344432161,156.268685770067,141.337031405565,20,11
"1952","AA",1991,"SWTH",119.835207769653,97.1316525488547,125.841340538841,155.740677567915,163.464472967104,154.033846822745,13,9
"1953","AA",1991,"TRFL",130.758754899621,117.61015090518,133.991194867958,164.618651834323,166.681914527598,164.00568207765,28,14
"1954","AA",1991,"VEER",126.691962878555,124.159948777019,126.999606776951,166.920657302642,216.049441535748,159.95736497904,14,9
"1955","AA",1991,"WCSP",NA,NA,NA,NA,NA,NA,1,1
"1956","AA",1991,"WEWA",NA,NA,NA,NA,NA,NA,1,1
"1957","AA",1991,"WIWA",130.262449325085,122.053346051562,133.508755804664,160.839055262286,180.153195173021,146.252092811357,11,4
"1958","AA",1991,"WOTH",NA,NA,NA,NA,NA,NA,4,3
