"site","species","phenophase","mean_slope","mean_p","mean_se","sigma_slope","sigma_se","sigma_p","bp_p","n","mean_doy","min_year","max_year","mean_tmax","lat","lon","dataset","mean_slope_temp","mean_se_temp","mean_p_temp","sigma_slope_temp","sigma_se_temp","sigma_p_temp","bp_p_temp","n_temp"
"p_6620","Robinia pseudoacacia","first_flower",-0.67157427208421,0.00013405330491085,0.153410677467531,-0.106510653210988,0.118950145895045,0.377689850487507,0.841694126711672,32,155.6875,1978,2015,21.021875,46.95,14.4167,"pep",-2.53153626475377,1.31824422673293,0.0643602773390358,0.682749449531945,1.69364032720172,0.689714672642498,0.925040547456454,32
"p_6596","Dactylis glomerata","first_flower",-0.840506772828553,0.00106224096029525,0.215816181030369,-0.25292216463442,0.252118677284586,0.329066894798059,0.389394768515807,20,166.45,1978,2010,19.825,48.45,14.3333,"pep",-4.15818324197337,1.36560977358495,0.00696911396195755,0.158183241973374,1.26156589721302,0.901607440323908,0.817485550267779,20
"p_3482","Calluna vulgaris","first_flower",0.0708866761498344,0.808747169385588,0.290661309475204,-0.230886676149835,0.305982293332502,0.455551330890349,0.303915242953683,37,225.891891891892,1978,2014,23.3918918918919,47.7333,12.8833,"pep",-0.717481877288691,1.75207575475417,0.684665367237481,0.236103985683614,1.56483438489538,0.880935740118092,0.682793712337069,37
"p_6662","Corylus avellana","first_flower",0.00719961761366049,0.97783272866867,0.257090687672405,-0.0447347676675409,0.211521670310784,0.833845945761485,0.559793381387634,34,64.7941176470588,1979,2015,8.14117647058824,48.85,15.5,"pep",-1.94042057976204,1.29727973248117,0.144514013459305,-1.6959430566016,1.0146281951072,0.104377138949921,0.135976318577157,34
"p_6662","Galanthus nivalis","first_flower",-0.0825985920306203,0.704790219328189,0.216134150382285,0.302016792584764,0.187608800862772,0.116962566232227,0.492720572431757,35,76.4571428571429,1979,2015,7.82571428571429,48.85,15.5,"pep",-2.64884738729716,0.924701107805261,0.00720924059235288,-1.10115261270283,1.14723757887163,0.344121191831022,0.205928193042648,35
"p_6662","Betula pendula","first_leaf",-0.188545433996356,0.18925965349251,0.1405671794398,-0.198551340197192,0.125141647009804,0.122433949663137,0.0667246414255631,34,111.911764705882,1979,2015,13.6441176470588,48.85,15.5,"pep",-1.99900533656436,0.771627919456779,0.0143075449422994,-1.73113491585586,0.781304484066084,0.0339474085825038,0.00779079633714255,34
"p_6662","Taraxacum officinale","first_flower",-0.477951635846374,0.00196215817705869,0.14279748723324,0.0934769355822012,0.103035113509388,0.370487422951533,0.433490657940066,37,110.054054054054,1979,2015,13.672972972973,48.85,15.5,"pep",-1.46964888398431,0.885582664620114,0.105945077379096,-0.704264159493947,0.92106490871301,0.449623008459764,0.416961942372504,37
"p_6662","Aesculus hippocastanum","first_leaf",-0.178046467520153,0.0632789144483059,0.0928217798011131,0.103236513253491,0.0575251527691984,0.0813534041072095,0.125973878351052,37,115.810810810811,1979,2015,13.672972972973,48.85,15.5,"pep",-1.69126116619814,0.466387534554725,0.000906218495221999,-0.0627441661900475,0.542906241476057,0.908653163093393,0.691577117544797,37
"p_6662","Prunus avium","first_flower",-0.509573844665226,0.000737871134205629,0.136957034956891,-0.103329381141225,0.145760778233508,0.483366744654255,0.188001796306383,35,113.628571428571,1979,2015,13.5542857142857,48.85,15.5,"pep",-2.85996957280593,0.814796787578599,0.00131881197910208,0.274358785403021,1.11281503795714,0.806787749612528,0.540623695132835,35
"p_6662","Quercus robur","first_leaf",-0.277605108499081,0.0109878991397292,0.102818190381164,-0.00304383116884288,0.0974590286634715,0.975278582804635,0.989014441317285,34,129.676470588235,1979,2015,18.3647058823529,48.85,15.5,"pep",-1.93305332978286,0.662767404529731,0.00641861965771366,-0.95583555910603,0.807008864251345,0.244970669366835,0.993390490963783,34
